"org.FlightSimulation.BenchmarkTest.runVersion1Throughput","thrpt",1,200,61.745843,0.400128,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion2Throughput","thrpt",1,200,62.426953,0.392782,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion3Throughput","thrpt",1,200,123.159422,0.583014,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion4Throughput","thrpt",1,200,123.901703,0.598388,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion1AverageTime","avgt",1,200,0.016233,0.000101,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion2AverageTime","avgt",1,200,0.016023,0.000099,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion3AverageTime","avgt",1,200,0.008130,0.000041,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion4AverageTime","avgt",1,200,0.008065,0.000044,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion1SingleShotTime","ss",1,200,0.015180,0.001202,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion2SingleShotTime","ss",1,200,0.015689,0.001344,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion3SingleShotTime","ss",1,200,0.007195,0.000458,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion4SingleShotTime","ss",1,200,0.007088,0.000838,"s/op"